"geographyId","currency_ReferenceRate","totalSignedAmount_ReferenceRate","totalCommitmentAmount_ReferenceRate","totalDisbursedAmount_ReferenceRate","code","name"
"b3174ce7-b534-4296-bade-cea09beeeb04","USD",50902120.97,50902120.97,50767505.96,"MLI-H-HCNLS",NA
"7c973abd-19b9-486b-956a-8ddeb7dd3f58","USD",8579594.04,8579594.04,8579594.04,"IDA-607-G09-T",NA
"430b8acd-ef36-4ef1-8231-0e730499d19a","USD",31292858.06,31292858.06,31292858.06,"NGA-H-ARFH",NA
"c0f7cdc2-b93a-4c89-82d6-4b3c3f707941","USD",2361908,2361908,2361908,"QUA-506-G04-M",NA
"7c973abd-19b9-486b-956a-8ddeb7dd3f58","USD",11081781.73,11081781.73,11081781.73,"IDA-T-WVI",NA
"b1fb9f3f-70c5-4cba-850c-5035b0868980","USD",28937335.61,28937335.61,28937335.61,"BEN-S-PRPSS",NA
"97066ca6-87c9-41ac-8e17-859ff7daa514","USD",19582600.04,14309341.97,12759402.71,"LKA-H-MOH",NA
"82343364-d259-44da-8a0f-9068273041dc","USD",9224035.4,9224035.4,9224035.4,"QRC-H-SISCA",NA
"1a011619-1610-46be-a1ac-4cbafe3e6a42","USD",10153729.25,10153729.25,10153729.25,"GEO-T-GPIC",NA
"780f55f5-d8cd-4189-944e-e2b82dcc317b","USD",12766330.28,12766330.28,12766330.28,"COG-810-G04-M",NA
"d75fca8c-d7e4-4c8d-9c44-91d6112827c7","USD",24739979.23,24739979.23,24739979.23,"KHM-S-PRMOH",NA
"01ae2dc3-49f1-48b7-b9fb-2be348d15051","USD",68259426.01,68259426.01,68259426.01,"LSO-809-G06-H",NA
"144a8761-d2be-4727-9546-371160bf093f","USD",10552780.77,10552780.77,10552780.77,"TJK-T-HOPE",NA
"57e3816a-7b6f-400d-9621-1c82042a7765","USD",4603398.14,4603398.14,4603398.14,"DOM-304-G02-T",NA
"ae4ed695-0440-4046-90d0-ca1b95a1ce38","USD",6512591.55,6512591.55,6512591.55,"QMT-H-EHRN",NA
"8f5db665-828c-4560-b959-155d0e156a30","USD",24119702,24119702,24119702,"BLR-304-G01-H",NA
"b3174ce7-b534-4296-bade-cea09beeeb04","USD",2354844.26,2354844.26,2354844.26,"MAL-708-G06-T",NA
"147e4a28-28b8-4a6d-91d2-2c17c312dfeb","USD",1265360.45,1265360.45,1265360.45,"ZWE-506-G04-H",NA
"430b8acd-ef36-4ef1-8231-0e730499d19a","USD",300410068.58,296059001.01,251238614.69,"NGA-S-NACA",NA
"9b694df1-565a-4c5d-ad64-786048414bd9","USD",2782935.98,2782935.98,2782935.98,"PRY-M-OIM",NA
"73d2cd6b-1e4c-4641-b763-a6e4731d5402","USD",73148506.75,62773093.91,57442557.29,"GTM-H-INCAP",NA
